workload,algo,obj,purity,qps,sum_us,mig_us,det_us,first_algo,final_algo,change_count,change_log
Dim-20,Birch,0,0.467436,930592,537292,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,StreamKMeans,0,0.431654,50959.2,9811767,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,CluStream,0,0.430184,89985.7,5556437,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,DenStream,0,0.430184,787647,634802,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,DBStream,0,0.430184,687901,726848,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,EDMStream,0,0.430184,897232,557269,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,DStream,0,0.430184,774122,645892,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,SLKMeans,0,0.430184,28820.9,17348506,NULL,NULL,NULL,NULL,NULL,NULL
Dim-20,BenneAcc,1,0.430184,963141,519134,17,52608,2140,2140,0,2140@0;
Dim-20,BenneEff,2,0.430184,1402070,356616,0,0,1412,1412,0,1412@0;
Dim-40,Birch,0,0.469004,719733,694701,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,StreamKMeans,0,0.437422,27569.2,18136148,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,CluStream,0,0.430086,47614.2,10501076,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,DenStream,0,0.430086,584402,855575,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,DBStream,0,0.430086,43959.7,11374059,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,EDMStream,0,0.430086,788546,634078,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,DStream,0,0.430086,628781,795189,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,SLKMeans,0,0.430086,5673.09,88135355,NULL,NULL,NULL,NULL,NULL,NULL
Dim-40,BenneAcc,1,0.432824,744400,671681,27,154163,2140,2120,1,2140@0;2120@1000;
Dim-40,BenneEff,2,0.430086,1101130,454077,0,0,1412,1412,0,1412@0;
Dim-60,Birch,0,0.430682,498983,1002037,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,StreamKMeans,0,0.429468,18771,26636811,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,CluStream,0,0.429468,33838.6,14776030,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,DenStream,0,0.429468,477313,1047530,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,DBStream,0,0,354118,1411960,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,EDMStream,0,0.429468,529643,944031,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,DStream,0,0.429468,464446,1076550,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,SLKMeans,0,0.429468,4230.07,118201413,NULL,NULL,NULL,NULL,NULL,NULL
Dim-60,BenneAcc,1,0.429468,622193,803609,17,207597,2140,2120,1,2140@0;2120@1000;
Dim-60,BenneEff,2,0.429468,938030,533032,0,0,1412,1412,0,1412@0;
Dim-80,Birch,0,0.432204,614388,813818,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,StreamKMeans,0,0.429898,14226.5,35145565,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,CluStream,0,0.429898,25570,19554128,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,DenStream,0,0.429898,385465,1297134,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,DBStream,0,0,302674,1651944,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,EDMStream,0,0.429898,646856,772969,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,DStream,0,0.429898,417210,1198436,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,SLKMeans,0,0.429898,3516.22,142198266,NULL,NULL,NULL,NULL,NULL,NULL
Dim-80,BenneAcc,1,0.429898,507989,984273,28,275724,2140,2120,1,2140@0;2120@1000;
Dim-80,BenneEff,2,0.429898,752133,664775,0,0,1412,1412,0,1412@0;
Dim-100,Birch,0,0.431862,480417,1040762,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,StreamKMeans,0,0.42992,11408.9,43825283,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,CluStream,0,0.42992,18825.2,26560152,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,DenStream,0,0.42992,326538,1531215,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,DBStream,0,0,260960,1916005,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,EDMStream,0,0.42992,509402,981542,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,DStream,0,0.42992,301856,1656419,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,SLKMeans,0,0.42992,3207.7,155875010,NULL,NULL,NULL,NULL,NULL,NULL
Dim-100,BenneAcc,1,0.42992,447464,1117408,33,354038,2140,2120,1,2140@0;2120@1000;
Dim-100,BenneEff,2,0.42992,665106,751760,0,0,1412,1412,0,1412@0;
