Algorithm,1,2,3
Birch,0.164336,0.159121,0.17194
StreamKMeans,0.86458,0.830218,0.82121
CluStream,0.0292564,0.0542317,0.0792
DenStream,0.0927124,0.108381,0.12691
DBStream,0.563042,0.517369,0.53335
EDMStream,0.881171,0.868919,0.86165
DStream,NULL,NULL,NULL
SLKMeans,0.0292564,0.0542317,0.0792
G1,0.798441,0.78409,0.76986
G2,0.798441,0.78409,0.76986
G3,0.809812,0.791557,0.80163
G4,0.0292564,0.0542317,0.0792
G5,0.0497931,0.0682621,0.09233
G6,0.812104,0.784028,0.76855
G7,0.952509,0.94319,0.93772
G8,0.685011,0.667913,0.65584
G9,0.0292564,0.0542317,0.0792
G10,0.94101,0.919094,0.89904
G11,0.810481,0.806173,0.79613
G12,0.878784,0.891157,0.88913
G13,0.920038,0.908802,0.90244
G14,0.351607,0.343149,0.3513
G15,0.786624,0.761658,0.74155
